==> 480c:  DEC A               PC:480d AF:0102 BC:00a6 DE:073f HL:48f1 SP:4904 IX:0000 IY:0000 Flags:00000010 [3d c2 05]
==> 480d:  JP NZ, 4805h        PC:4805 AF:0102 BC:00a6 DE:073f HL:48f1 SP:4904 IX:0000 IY:0000 Flags:00000010 [c2 05 48]
==> 4805:  EX DE, HL           PC:4806 AF:0102 BC:00a6 DE:48f1 HL:073f SP:4904 IX:0000 IY:0000 Flags:00000010 [eb 73 23]
==> 4806:  LD (HL), E          PC:4807 AF:0102 BC:00a6 DE:48f1 HL:073f SP:4904 IX:0000 IY:0000 Flags:00000010 [73 23 72]
==> 4807:  INC HL              PC:4808 AF:0102 BC:00a6 DE:48f1 HL:0740 SP:4904 IX:0000 IY:0000 Flags:00000010 [23 72 23]
==> 4808:  LD (HL), D          PC:4809 AF:0102 BC:00a6 DE:48f1 HL:0740 SP:4904 IX:0000 IY:0000 Flags:00000010 [72 23 eb]
==> 4809:  INC HL              PC:480a AF:0102 BC:00a6 DE:48f1 HL:0741 SP:4904 IX:0000 IY:0000 Flags:00000010 [23 eb 09]
==> 480a:  EX DE, HL           PC:480b AF:0102 BC:00a6 DE:0741 HL:48f1 SP:4904 IX:0000 IY:0000 Flags:00000010 [eb 09 3d]
==> 480b:  ADD HL, BC          PC:480c AF:0108 BC:00a6 DE:0741 HL:4997 SP:4904 IX:0000 IY:0000 Flags:00001000 [09 3d c2]
==> 480c:  DEC A               PC:480d AF:0042 BC:00a6 DE:0741 HL:4997 SP:4904 IX:0000 IY:0000 Flags:01000010 [3d c2 05]
==> 480d:  JP NZ, 4805h        PC:4810 AF:0042 BC:00a6 DE:0741 HL:4997 SP:4904 IX:0000 IY:0000 Flags:01000010 [c2 05 48]
==> 4810:  INC HL              PC:4811 AF:0042 BC:00a6 DE:0741 HL:4998 SP:4904 IX:0000 IY:0000 Flags:01000010 [23 22 2f]
==> 4811:  LD (072fh), HL      PC:4814 AF:0042 BC:00a6 DE:0741 HL:4998 SP:4904 IX:0000 IY:0000 Flags:01000010 [22 2f 07]
==> 4814:  EX (SP), HL         PC:4815 AF:0042 BC:00a6 DE:0741 HL:f79b SP:4904 IX:0000 IY:0000 Flags:01000010 [e3 11 06]
==> 4815:  LD DE, 4906h        PC:4818 AF:0042 BC:00a6 DE:4906 HL:f79b SP:4904 IX:0000 IY:0000 Flags:01000010 [11 06 49]
==> 4818:  CALL 10b4h          PC:10b4 AF:0042 BC:00a6 DE:4906 HL:f79b SP:4902 IX:0000 IY:0000 Flags:01000010 [cd b4 10]
==> 10b4:  LD A, H             PC:10b5 AF:f742 BC:00a6 DE:4906 HL:f79b SP:4902 IX:0000 IY:0000 Flags:01000010 [7c 92 c0]
==> 10b5:  SUB A, D            PC:10b6 AF:aeba BC:00a6 DE:4906 HL:f79b SP:4902 IX:0000 IY:0000 Flags:10111010 [92 c0 7d]
==> 10b6:  RET NZ              PC:481b AF:aeba BC:00a6 DE:4906 HL:f79b SP:4904 IX:0000 IY:0000 Flags:10111010 [c0 7d 93]
==> 481b:  JP C, 0ae5h         PC:481e AF:aeba BC:00a6 DE:4906 HL:f79b SP:4904 IX:0000 IY:0000 Flags:10111010 [da e5 0a]
==> 481e:  POP DE              PC:481f AF:aeba BC:00a6 DE:4998 HL:f79b SP:4906 IX:0000 IY:0000 Flags:10111010 [d1 f9 22]
==> 481f:  LD SP, HL           PC:4820 AF:aeba BC:00a6 DE:4998 HL:f79b SP:f79b IX:0000 IY:0000 Flags:10111010 [f9 22 2b]
